"","wordlist","neg.avg","RT","Val"
"2","ABUNDANT",0.47,897.486105259522,"POS"
"46","BATTER",0.53921568627451,896.964166873266,"AMB"
"48","BEAT",0.554455445544555,962.448214545269,"AMB"
"70","BREAK",0.519607843137255,877.325834353446,"AMB"
"83","CATCH",0.42156862745098,931.645147398879,"AMB"
"88","CHECK",0.441176470588235,915.160636026036,"AMB"
"95","CLOSE",0.44,932.361806353549,"AMB"
"96","CLUB",0.46,887.667847662865,"AMB"
"107","COSMIC",0.42156862745098,909.85720270685,"POS"
"110","COURT",0.509803921568627,934.458278873789,"AMB"
"111","COURTROOM",0.46078431372549,945.866766739643,"NEG"
"129","CRUSH",0.509803921568627,893.055631659858,"AMB"
"159","DIRECT",0.480392156862745,901.53270342314,"AMB"
"161","DISCIPLINE",0.450980392156863,890.207003414256,"AMB"
"189","FACELESS",0.607843137254902,885.773330226161,"NEG"
"205","FIGHTER",0.48,913.785205636267,"AMB"
"259","HAIL",0.568627450980392,888.170440147019,"AMB"
"261","HANG",0.568627450980392,940.985929050127,"AMB"
"268","HEADSTONE",0.514851485148515,939.16703191711,"NEG"
"301","INHERIT",0.441176470588235,893.087802107674,"POS"
"395","OPERATION",0.465346534653465,941.372417270404,"NEG"
"402","OVERCOME",0.431372549019608,927.047207441206,"AMB"
"421","PICK",0.514851485148515,949.555097628807,"AMB"
"425","PLAYER",0.445544554455446,901.595638594841,"AMB"
"433","POP",0.490196078431373,906.71691584701,"AMB"
"455","RADICAL",0.504950495049505,970.046786477377,"AMB"
"458","RECEIVE",0.435643564356436,879.465691354115,"POS"
"459","RECESSION",0.53921568627451,878.006468142675,"NEG"
"471","RETREAT",0.613861386138614,935.162819463363,"AMB"
"473","REVOLUTION",0.48,934.035102017322,"AMB"
"484","RUSH",0.514851485148515,926.464456874233,"AMB"
"490","SHAKE",0.549019607843137,953.796130531774,"AMB"
"498","SHRED",0.613861386138614,887.013761491702,"AMB"
"514","SNAPPY",0.52,882.913696725253,"AMB"
"539","STUN",0.594059405940594,882.405199059261,"AMB"
"552","SURVIVAL",0.480392156862745,909.781864313743,"POS"
"563","TERMINAL",0.594059405940594,892.21276715179,"AMB"
"568","THICK",0.549019607843137,976.391372627643,"AMB"
"574","TRAFFIC",0.594059405940594,876.081289345775,"NEG"
"581","TRICK",0.519607843137255,909.814605368591,"AMB"
