"","c.784848..798597..798586..792099..798585..801388..802507..798607.."
"1",784848
"2",798597
"3",798586
"4",792099
"5",798585
"6",801388
"7",802507
"8",798607
"9",801780
"10",798626
"11",784867
"12",802662
"13",801784
"14",792116
"15",784840
"16",784843
"17",801774
"18",793220
"19",793484
"20",784837
"21",788868
"22",798609
"23",798582
"24",793217
"25",798587
"26",798640
"27",793483
"28",792108
"29",792111
"30",791965
"31",801776
"32",798606
"33",801783
"34",793240
"35",791989
"36",793247
"37",798618
"38",788860
"39",802658
"40",798637
"41",792098
"42",801330
"43",788861
"44",801777
"45",792103
"46",798643
"47",801326
"48",791983
"49",802666
"50",798613
"51",798589
"52",792043
"53",798635
"54",784842
"55",798611
"56",798612
"57",798595
"58",793187
"59",802670
"60",802667
"61",784849
"62",792102
"63",791958
"64",802477
"65",798617
"66",798590
"67",798624
"68",792109
"69",802668
"70",798600
"71",792094
"72",798581
"73",793179
"74",792105
"75",784861
"76",798591
"77",801355
"78",785222
"79",798623
"80",801778
"81",801325
"82",798625
"83",798615
"84",802660
"85",784838
"86",788871
"87",798630
"88",802485
"89",791938
"90",798602
"91",798583
"92",793343
"93",793181
"94",784841
"95",793186
"96",792110
"97",792100
"98",801773
"99",791964
"100",802663
"101",798593
"102",798603
"103",784864
